Prefecture,Population,Brand,Stores
Hokkaido,6923388,7-Eleven,944
Hokkaido,6923388,FamilyMart,247
Hokkaido,6923388,Lawson,845
Aomori,4804572,7-Eleven,194
Aomori,4804572,FamilyMart,188
Aomori,4804572,Lawson,171
Iwate,10458614,7-Eleven,380
Iwate,10458614,FamilyMart,532
Iwate,10458614,Lawson,137
Miyagi,7704212,7-Eleven,173
Miyagi,7704212,FamilyMart,221
Miyagi,7704212,Lawson,237
Akita,11026850,7-Eleven,135
Akita,11026850,FamilyMart,382
Akita,11026850,Lawson,219
Yamagata,2266891,7-Eleven,187
Yamagata,2266891,FamilyMart,155
Yamagata,2266891,Lawson,135
Fukushima,9680351,7-Eleven,105
Fukushima,9680351,FamilyMart,226
Fukushima,9680351,Lawson,134
Ibaraki,10284633,7-Eleven,171
Ibaraki,10284633,FamilyMart,302
Ibaraki,10284633,Lawson,216
Tochigi,9805648,7-Eleven,224
Tochigi,9805648,FamilyMart,218
Tochigi,9805648,Lawson,190
Gunma,12419017,7-Eleven,449
Gunma,12419017,FamilyMart,112
Gunma,12419017,Lawson,225
Saitama,10389550,7-Eleven,1246
Saitama,10389550,FamilyMart,765
Saitama,10389550,Lawson,736
Chiba,5647581,7-Eleven,1181
Chiba,5647581,FamilyMart,644
Chiba,5647581,Lawson,595
Tokyo,12363283,7-Eleven,2882
Tokyo,12363283,FamilyMart,2478
Tokyo,12363283,Lawson,1604
Kanagawa,2928388,7-Eleven,1527
Kanagawa,2928388,FamilyMart,990
Kanagawa,2928388,Lawson,1071
Niigata,5999720,7-Eleven,216
Niigata,5999720,FamilyMart,347
Niigata,5999720,Lawson,237
Toyama,3916664,7-Eleven,365
Toyama,3916664,FamilyMart,63
Toyama,3916664,Lawson,191
Ishikawa,11684121,7-Eleven,526
Ishikawa,11684121,FamilyMart,419
Ishikawa,11684121,Lawson,214
Fukui,2325665,7-Eleven,241
Fukui,2325665,FamilyMart,161
Fukui,2325665,Lawson,140
Yamanashi,4556518,7-Eleven,350
Yamanashi,4556518,FamilyMart,258
Yamanashi,4556518,Lawson,125
Nagano,13979854,7-Eleven,84
Nagano,13979854,FamilyMart,255
Nagano,13979854,Lawson,154
Gifu,4655299,7-Eleven,235
Gifu,4655299,FamilyMart,245
Gifu,4655299,Lawson,161
Shizuoka,13888801,7-Eleven,571
Shizuoka,13888801,FamilyMart,463
Shizuoka,13888801,Lawson,315
Aichi,6058019,7-Eleven,995
Aichi,6058019,FamilyMart,1500
Aichi,6058019,Lawson,752
Mie,10984113,7-Eleven,479
Mie,10984113,FamilyMart,329
Mie,10984113,Lawson,211
Shiga,3158505,7-Eleven,445
Shiga,3158505,FamilyMart,319
Shiga,3158505,Lawson,136
Kyoto,10473006,7-Eleven,605
Kyoto,10473006,FamilyMart,535
Kyoto,10473006,Lawson,300
Osaka,6096411,7-Eleven,1366
Osaka,6096411,FamilyMart,1375
Osaka,6096411,Lawson,1145
Hyogo,3866612,7-Eleven,769
Hyogo,3866612,FamilyMart,622
Hyogo,3866612,Lawson,387
Nara,3204238,7-Eleven,426
Nara,3204238,FamilyMart,341
Nara,3204238,Lawson,195
Wakayama,2267640,7-Eleven,313
Wakayama,2267640,FamilyMart,237
Wakayama,2267640,Lawson,229
Tottori,11502348,7-Eleven,111
Tottori,11502348,FamilyMart,123
Tottori,11502348,Lawson,64
Shimane,5673036,7-Eleven,114
Shimane,5673036,FamilyMart,130
Shimane,5673036,Lawson,112
Okayama,7056168,7-Eleven,341
Okayama,7056168,FamilyMart,220
Okayama,7056168,Lawson,269
Hiroshima,7440119,7-Eleven,513
Hiroshima,7440119,FamilyMart,312
Hiroshima,7440119,Lawson,372
Yamaguchi,2237095,7-Eleven,348
Yamaguchi,2237095,FamilyMart,268
Yamaguchi,2237095,Lawson,138
Tokushima,2609818,7-Eleven,184
Tokushima,2609818,FamilyMart,156
Tokushima,2609818,Lawson,128
Kagawa,11836697,7-Eleven,90
Kagawa,11836697,FamilyMart,110
Kagawa,11836697,Lawson,184
Ehime,10732008,7-Eleven,191
Ehime,10732008,FamilyMart,182
Ehime,10732008,Lawson,197
Kochi,7630144,7-Eleven,112
Kochi,7630144,FamilyMart,255
Kochi,7630144,Lawson,145
Fukuoka,4247389,7-Eleven,901
Fukuoka,4247389,FamilyMart,854
Fukuoka,4247389,Lawson,548
Saga,6745035,7-Eleven,94
Saga,6745035,FamilyMart,77
Saga,6745035,Lawson,62
Nagasaki,991234,7-Eleven,262
Nagasaki,991234,FamilyMart,153
Nagasaki,991234,Lawson,169
Kumamoto,13266976,7-Eleven,178
Kumamoto,13266976,FamilyMart,291
Kumamoto,13266976,Lawson,163
Oita,6667294,7-Eleven,347
Oita,6667294,FamilyMart,192
Oita,6667294,Lawson,244
Miyazaki,8058158,7-Eleven,331
Miyazaki,8058158,FamilyMart,227
Miyazaki,8058158,Lawson,112
Kagoshima,10905324,7-Eleven,364
Kagoshima,10905324,FamilyMart,248
Kagoshima,10905324,Lawson,201
Okinawa,12156432,7-Eleven,194
Okinawa,12156432,FamilyMart,337
Okinawa,12156432,Lawson,263